movie_id,title,genre
1,Iron Sky,Comedy
2,Laugh Track,Comedy
3,Silent Tears,Action
4,Star Voyage,Comedy
5,Love in Paris,Romance
6,Battle Zone,Action
7,Office Chaos,Action
8,The Long Goodbye,SciFi
9,Galaxy Run,Comedy
10,Two Hearts,Romance
11,Rogue Squad,SciFi
12,Sitcom Life,Comedy
13,Mother's Grief,Romance
14,Time Machine,SciFi
15,First Kiss,Action
16,War Front,Action
17,Stand-Up Nights,SciFi
18,The Divorce,SciFi
19,Alien Contact,Comedy
20,Wedding Bells,Drama
21,Explosive Chase,SciFi
22,Comedy Central,SciFi
23,Broken Family,Drama
24,Mars Colony,Comedy
25,Summer Romance,SciFi
26,Special Ops,Drama
27,The Prank,Comedy
28,Losing Hope,SciFi
29,Robot Uprising,Action
30,Second Chance Love,Action
31,Tank Battalion,Comedy
32,Funny Business,Drama
33,The Funeral,Romance
34,Interstellar Drift,Romance
35,Blind Date,Action
36,Combat Elite,SciFi
37,Class Clown,Romance
38,Grief Counselor,SciFi
39,Space Pirates,Comedy
40,Love Letters,Romance
41,Night Raid,Action
42,The Roast,Comedy
43,Family Ties,SciFi
44,Wormhole,Drama
45,Valentine Surprise,Comedy
